type_debris,waste_quantity,pickup_name,pickup_address,pickup_city,pickup_state,pickup_zip,pickup_lat,pickup_lng,generator_name,generator_address,generator_city,generator_state,generator_zip,transporter_name,receiving_name,receiving_address,receiving_city,receiving_state,receiving_zip,receiving_lat,receiving_lng
Construction Waste,Unknown,Atlantic Shorefront Groins Project,125 Beach 19th Street,Far Rockaway,NY,11691,40.593335,-73.7535713,US Army Corp of Engineers,441 G Street,Washington,DC,20314,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
General Fill,Unknown,Allantic Shorefront Groins Project,125 Beach 19th Street,Far Rockaway,NY,11691,40.593335,-73.7535713,US Army Corp of Engineers,441 G Street,Washington,DC,20314,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Limited-Use Fill,30 Cubic Yards,Atlantic Shorefront Grains Project,125 Beach 19th Street,Far Rockaway,NY,11691,40.593335,-73.7535713,US Army Corp of Engineers,441 G Street,Washington,DC,11747,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Bronx Community College; Phase V Electrical Power Bldg,2155 University Avenue,Bronx,NY,10453,40.8575157,-73.9129287,City University of NY,555 West 57th Street,New York,NY,10019,"Asbestos Transportation Company, Inc. (ATC)",Minerva Enterprises,8955 Minerva Road,Waynesburg,OH,44688,40.6787942,-81.23995
Mix,30 Tons,Unknown,2856 Webster Avenue,Bronx,NY,10458,40.8664474,-73.8840807,"JELB Webster, LLC",7 Penn Plaza,New York,NY,10001,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,30 Cubic Yards,Unknown,2856 Webster Avenue,Bronx,NY,10458,40.8664474,-73.8840807,"JELB Webster, LLC",7 Penn Plaza,New York,NY,10001,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,30 Tons,Unknown,2856 Webster Avenue,Bronx,NY,10458,40.8664474,-73.8840807,"JELB Webster, LLC",7 Penn Plaza,New York,NY,10001,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,30 Cubic Yards,Unknown,31-01 20th Avenue,Astoria,NY,11105,40.7798585,-73.9057633,"Astoria Gas Turbine Power, LLC",31-01 20th Avenue,Astoria,NY,11105,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,25 Cubic Yards,AKA 1521 Inwood Avenue,1518-1530 Macombs Road,Bronx,NY,10452,40.842718,-73.917764,"Macombs 1504, LLC",1501 Broadway,New York,NY,10036,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,Unknown,Unknown,2856 Webster Avenue,Bronx,NY,10458,40.8664474,-73.8840807,"JELB Webster, LLC",7 Penn Plaza,Bronx,NY,10001,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,24 Cubic Yards,AKA 1521 Inwood Avenue,1518-1530 Macombs Road,Bronx,NY,10452,40.842718,-73.917764,"Macombs 1504, LLC",1501 Broadway,New York,NY,10036,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,24 Cubic Yards,AKA 1521 Inwood Avenue,1518-1530 Macombs Road,Bronx,NY,10452,40.842718,-73.917764,"Macombs 1504, LLC",1501 Broadway,New York,NY,10036,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
Mix,25 Cubic Yards,AKA 1521 Inwood Avenue,1518-1530 Macombs Road,Bronx,NY,10452,40.842718,-73.917764,"Macombs 1504, LLC",1501 Broadway,New York,NY,10036,"Asbestos Transportation Company, Inc. (ATC)",110 Sand Clean Fill Disposal Site,136 Bethpage-Spagnoli Rd,Melville,NY,11747,40.76875001,-73.43717798
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
